name_key,total_inspections,total_violations,avg_violation_count,fails,BusinessName,address,latitude,longitude,last_inspection_date,facility_rating_status,fail_rate
LEATHERNECK STEAKHOUSE MARINES MEMORIAL ASSN,2,0,0.0,0,leatherneck steakhouse marines memorial assn,609 sutter street 12th floor,37.788954,-122.410467,2022-09-20,0,0.0
LEBEAU S NOB HILL MARKET,3,0,0.0,0,lebeau s nob hill market,1263 leavenworth street,37.792854,-122.416114,2023-07-19,0,0.0
LEE RC GAS,1,2,2.0,0,lee rc gas,376 castro street,37.762929,-122.435514,2025-01-07,0,0.0
LEE S DELI,15,0,0.0,0,lee s deli,303 02nd street,37.784954,-122.395922,2023-04-11,0,0.0
LEE S FOOD MARKET,4,1,0.25,0,lee s food market,1397 revere avenue,37.729397,-122.3864373,2025-06-11,0,0.0
LEE S SANDWICHES,8,12,1.5,0,lee s sandwiches,625 larkin street,37.783664,-122.417635,2025-04-11,0,0.0
LEFT WING,1,0,0.0,0,left wing,3995 alemany boulevard,37.7104386,-122.467575,2023-04-03,0,0.0
LEGACY NORTH BEACH BAR,4,7,1.75,0,legacy north beach bar,1326 grant avenue,37.7991,-122.4070605,2025-02-06,0,0.0
LELAND MARKET,2,0,0.0,0,leland market,65 leland avenue,37.7115465,-122.4052913,2023-03-28,0,0.0
LELEKA,1,2,2.0,0,leleka,40 belden place,37.7912009,-122.4037342,2025-01-07,0,0.0
LELENITA S CAKES,5,11,2.2,0,lelenita s cakes,3743 mission street,37.736628,-122.424163,2025-03-20,0,0.0
LEMONADE,12,3,0.25,0,lemonade,781 mission street,37.7848688,-122.4034659,2024-10-23,0,0.0
LEMONGRASS THAI CUISINE,5,5,1.0,0,lemongrass thai cuisine,2348 polk street,37.7985374,-122.4221052,2025-05-13,0,0.0
LEMONGRASS VIETNAMESE KITCHEN,1,0,0.0,0,lemongrass vietnamese kitchen,1241 vicente street,37.7388968,-122.4804572,2023-04-04,0,0.0
LENG GROUP,1,2,2.0,0,leng group,1919 irving street,37.763397,-122.4785475,2025-03-05,0,0.0
LEO S HOT DOGS,1,0,0.0,0,leo s hot dogs,2301 mission street,37.760054,-122.419166,2021-07-15,0,0.0
LEO S LUXURY OYSTER BAR,2,0,0.0,0,leo s luxury oyster bar,568 sacramento street,37.7940121,-122.4025639,2022-10-19,0,0.0
LEO S TACOS SAN FRANCISCO,2,0,0.0,0,leo s tacos san francisco,1234 great highway,37.763613,-122.509611,2025-04-25,0,0.0
LEONARIAS,2,0,0.0,0,leonarias,300 bay shore boulevard,37.743003,-122.4055665,2025-04-18,0,0.0
LEOPOLD S,1,3,3.0,0,leopold s,2400 polk street,37.798929,-122.422086,2025-06-18,0,0.0
LEOPOLD S WURSTHAUS,1,0,0.0,0,leopold s wursthaus,90 charter oak avenue,37.73682,-122.40531,2025-06-05,0,0.0
LEOS LUXURY OYSTER BAR,2,10,5.0,0,leos luxury oyster bar,568 sacramento street,37.794087,-122.4026055,2024-09-18,0,0.0
LERS ROS 16TH STREET,11,18,1.6363636363636365,2,lers ros 16th street,3189 16th street,37.7646616,-122.4238241,2025-02-26,0,0.18181818181818182
LERS ROS RED,3,11,3.6666666666666665,0,lers ros red,307 hayes street,37.776933,-122.4217035,2025-03-07,0,0.0
LERS ROS THAI NOODLE,18,31,1.7222222222222223,2,lers ros thai noodle,730 larkin street,37.784709,-122.417577,2024-11-19,0,0.1111111111111111
LES CROISSANT,2,0,0.0,0,les croissant,1840 geary boulevard,37.784488,-122.433775,2023-05-15,0,0.0
LES CROISSANTS,1,3,3.0,0,les croissants,1840 geary boulevard,37.78447741,-122.4335622,2024-03-26,0,0.0
LES DEUX AMIS,5,12,2.4,0,les deux amis,1288 howard street,37.7751925,-122.412977,2025-03-20,0,0.0
LES GOURMANDS BAKERY,5,0,0.0,1,les gourmands bakery,900 folsom street a,37.7800732,-122.4040618,2021-11-10,0,0.2
